Comment,Sentiment
honestly can hollywood stop pandering to female only lol it's getting quite ridic,positive
doe anyone else find this show insanely boring compared to the mandalorian,negative
the cinematographer of this movie clearly know what their doing,positive
video game cinematics shouldn't be better than the movie but it is where we are,negative
funny disney want you to think they are the rebellion when in fact and in deed they are the empire,positive
imagine a mon calamri elder staring at the camera and softly whispering the word gather the force the sith ha returned,positive
i really dont care how bad the movie were i love star war this trailer is epic and the music and the falcon zooming around ooff,positive
spoiler danger i love this show specially the first four episode they are a real dive-feep in to the tatooine-cultur including the tuskens lifestyle i'm ok with that that almost two ehole episode are to bring in the show din djarin and grogu and some cameo but it's understandable and the final episode is the ultimate war on tatooine real hot star war this show is just wow i really would like to see a second season of the book of boba fett,negative
definitely the weakest of the trailer the music used for the first half is way too overused at this point with the music in the second half being too quiet and not very exciting for a trailer also some of the choice for dialogue are rather misleading (main culprit being at what cost everything) overall just make the show look a bit bland imo and it doesn't help that the other trailer are so great,negative
who would have expected this show would be the best thing to come from the disney star war stuff,positive
by far the best thing to come out of sw franchise finally something sw that isn't still stuck in the s/s no more silly one liner overly dramatic music and obnoxious side kick i hope this continues,positive
no wonder it's good it's created by the folk who created rogue one,positive
this is star war for adult and i'm all here for it high stake drama with technical dialogue that doesn't spell thing out for you i appreciate this bold take on star war a lot more than mandalorian,negative
i m recovering from season mandolorianrewatching season while waiting for this,neutral
if only donnie yen played a a jedi the whole starwars universe could've been much more greater instead they made him a blind dude with a stick such a waste of talent tsk,positive
episode wa spectacular each episode get better and get better i cant imagine how great the last episode are going to be,positive
i really wish to go back in time and get hyped up with this trailer i really miss those day,positive
heir to the empire need luke mara jade everything else is rebel not the original story it caca,negative
kathleen kennedy ha ruined star war for me i already hate rebel so like this show better actually be good,negative
i watched the ot about time when i wa a kid i wa year old when my mom took me to see this movie; she got me snack a soda and popcorn then afterwards we went to toy r' u and she let me buy a toy; which obviously ended up being a star war toy we didnt have a lot of money growing up so the fact that she took me on this little bonding day is so much more poignant to me looking back a an adult that wa such an amazing day that i got to spend with my mom i have so much nostalgia for this movie regardless of what it quality might be,positive
this trailer showed u so much promise instead it wa more like hey everybody watch star war crash and burn like a shooting star thanks alot disney,positive
over the past few week we have had a marvel show a star war show and show based on lord of the ring and i have not bothered to watch any of them ten year ago that would have seemed unimaginable to me,neutral
hopefully we atleast get a pic of kanan or even a force ghost,positive
only it not going to be a exciting a this is the real world nwo here we go,positive
star war andor put pretty much every other series around including the mediocre house of the dragon and the awful the ring of power to shame in pretty much all aspect message to disney and lucasfilm for whatever it is worth; if you want to aim for something aim for andor in term of the quality of your programming andor is the perfect distillation of what creativity talent imagination and commitment can do too bad few seem to recognize that fact,positive
suzuka im going to build you the first galactic empire prepare to reign for year love you your husband emperor richard kelley,positive
i remember i wa year old when they released the trailer on the apple website downloading this trailer on a k dial up connection took all day to finish watched it every single day for week,neutral
andor is boring it ha zero action and mando is so much better then andor and the trailer made it cool but it is not,positive
whatever your opinion is of this movie love it or hate can we just agree that this trailer is still amazing looking back upon it,positive
this hold the record for the trailer with the most meme in it,neutral
kevin gate the type of guy i wouldnt approve my sister of dating,neutral
so no idea what the actual game will be imagine it turning out a mobile game full of micro transaction,negative
warrior outcast rebel jedi goosebump when done right nothing top star war and this this look incredible,positive
i hate ryan johnson and kathleen kennedy for what they did to this series we can see what amazing storytelling can happen with director like john favreau we can only imagine how this series would have turned out if the episode wa directed by someone who respected the saga's path,positive
those who wondering this is non-canon a the writer been force by disney to make this so call alternate version and most of the writer don't like star war the canon is obi ben kenobi never left the planet and leaving luke alone is far too dangerous,negative
i wa born right after this movie totally wish i could have experienced the hype and watched this in theater i started the prequels with this still when i wa around or and it wa incredible i vividly remember watching darth maul cut in half and being in utter shock staring at the tv star war these day for me is just pure nostalgia and i watch once in a while just to feel good i wa lucky enough to see revenge of the sith in theater even though tpm isnt the best received by fan if you get into legend and read about plagueis and different event around leading up and into the prequels it make the movie x more interesting if youre a fan of the phantom menace go read the darth plagueis novel asap it make tpm a monumental movie and make you realize whats truly going on,positive
the only thing i would have changed is the black woman villain that character wa horribbblllleeeeee,negative
i enjoyed watching ahsoka grow and mature a a character over the year i think she wa in a really good place by the end of the clone war in term of character realization however i think they took it a bit too far she's become too much like the republic era jedi that she saw the flaw in and left too dispassionate too aloof i'm not really interested in ahsoka if she's got ice water in her vein honestly i think the full realization of the character would have been more like kanan a spouse a parent and a jedi knight show that it's possible to be a jedi and still be a person fundamentally i think that's the take away from anakin's story if he hadn't been stifled by the jedi's dogmatic way he could have been an incredible force for good but instead he had to live in secret and a a result had no support system when he wa in crisis he took the only hand extended to him palpatine's and the galaxy suffered it's also the cause for most jedi that go dark you can live a disciplined and principled life and still let yourself feel thing and form attachment,positive
woah thats awesome dude i sure hope nobody will somehow return in the future,positive
mira people make that new spaceship of limituse a-() yearsp-and zods sir plane,neutral
from the creator of rogue one well that make sense whoever is the team behind these need to do more,positive
i don't get it who the f is that where the f is this and what the f is this even about,neutral
cinematic is an understatement this trailer open up all sort of possibility of star war lore that can be explored disneytake note,negative
this show wa very good i think they should make more show in this era,positive
year later the taking one last look sir at my friend still get me,positive
ahsoka ha really changed in nature of her personality from clone war she more more world weary and melancholy but it all make sense story wise,positive
i would love to see the rebel being a borderline terrorist organization more than the army of good people that we have seen it to be since the first movie i hope that disney would let the star war be more than a pg- universe,negative
am i only the one to spot a deleted scene where the partisan were aiming at luthen in segra milo,neutral
my band and i band produced a star war punk song in chicago that is a spin on the empire strike back please click on our sleeping tiger icon to give it a listen it's called lightsaber language,negative
i wish i wa alive to see these movie when they first came out only star war movie ive seen in theater are the sequel :(,negative
i wonder if ezra's new saber will be purple that would be cool :d,positive
i wa when this came out and i will only ever have love for this film and the following two prequels,positive
the problem with star war is the bad guy have enough money to shot a planet but they dont have enough money to train stormtroopers who actually know how to aim their weapon at the target,negative
this look very good but so did the sequel trilogy trailer :' -),positive
a terrible trailer (actually it's very good) because the show is incredible most trailer show you all of the good bit trying to convince you that the whole show is like that for this one the whole show is like that my new star war rankings: andor (a shocking achievement for a franchise that wa descending into bad spin-offs) a new hope rogue one the empire strike back the force awakens return of the jedi solo revenge of the sith attack of the clone the last jedi rise of skywalker the phantom menace caravan of courage i haven't watched anything else nor will i because this is the only star war i want to watch from now on proper star war the real star war,negative
never knew how similar halloween and the imperial march sounded when the march is slowed down,neutral
this series is good example of how bad casting ruin everything especially if it the lead role,negative
let hope this isn't woke disney throwing another star war dud,negative
this comment section make me tear up showing that so many fan looked forward to this show (including me) and had so good expectation not knowing it will be one of the most disappointing thing ever created since the sequel,positive
great to see new starwars videogame content i have loved playing detroit become human by quantic dream so pi dont expect this to disappiont,positive
i keep coming back to this every few month just to reminisce,neutral
this should be renamed revenge of the sith in and a half minute,negative
they coulda made the last second be the whole trailer and everyone woulda been satisfied but instead they did a summary of the movie lol,positive
ill admit this may have not been the best star war show but still underrated,negative
good show just one question ak really a long time ago in a galaxy far far away mikhail timofeyevich kalashnikov time traveller and arm dealer well thats a story for another time ;),positive
i pray and deeply hope they whom ever release this on dvd i pray to the god for if streamed only we on pension and in the country can not stream we do not have internet understand this for whom ever bos company's high ups we can not get internet you will make more money by releasing this extremely important part of thee star war so please give u a releasing date is that so hard but please release this on dvd please you will huge profit make more money by doing so so i beg you of you out there in the star war clubsfans fanatic please let's gaver across and get these rich rich people something to releasing a e this thank you oh please,positive
i cant stand the shaky-cam effect they use all the time make me seasick and cant focus how did this pas quality-control,neutral
this trailer prof no one wa mad at the fact a chick wa the lead it how the overall trilogy turned out,negative
i'm rewatching for the great memory it gave to me and my friend,positive
i watched the series and i loved it and i like when darth vader fought obi wan and his face got revealed,positive
it could have been a brilliant finale but they ended up screwing it up,neutral
people often forget that the initial response to this film wa very positive from both fan and critic online and then for some reason about a year later or thereabouts people just kind of soured on it pretty fast me personally i've always loved it my favourite of the prequels,positive
why pharos are black i think if disney/netflix made a movie about churchul they would use whoopi goldberg woke,neutral
what a waste of a character what a disappointment what a show of sheer incompetence you disney whistle should be ashamed of yourselves,negative
anyone still watching this in and think of the missed potential cause same,negative
the trailer wa better than the movie and yes the music is epic,positive
an internet wit writes: i wa just wondering given the how commonly remarked upon that slave master father child on female slave it is very possible that that flying elephant creature wa anikan's father,neutral
year ago today this gem of a trailer wa released it wa such a sublime and unforgettable moment all those year have passed and it still move me so much every time i look at it personally it is my favorite trailer of all star war so far i love the trailer,positive
even though i didn't like the movie this trailer still go hard the music get me emotional every time,negative
shame many of these scene werent in the movie i liked rogue one wouldve made it a lot better though,positive
the force awakens: i'm the highest-grossing star war movie ever the star war movie with grogu and the mandalorians: my blue milk you will hold,negative
god this movie is legendaryi wa too young to see the original or even this in theater but seeing young anakin knowing he would become vader is crazy,negative
if you're looking for a fast paced action packed series then this isn't it gave up after seven episode paint drying is more exciting to watch,positive
part of me belief that it wa a much darker more gruesome film a shown in some of the scene and the dialogue that did not make the final cut (disney pr and marketing to blame) but what we still got wa a solid action movie kudos to the production team and the director especially of the final act that keep you on the edge of your seat,positive
if it wa the trailer for a new movie i would be hallucinating,neutral
if you think that wa acting from tem then you need to come to rotoruathey speak like that lmao,positive
i still remember getting home from school and watching this trailer on repeat every day until release lol i wa,positive
another overhyped show thats going to fail let me guess episode and of them are going to be useless filler,negative
why is this show sooooooo boring episode in and it just blah blah blah and before all you real fan tell me oh you just find it boring because there isnt a much lightsabers or laser blah blah blah no i find it boring because it the plot doe not move along like it should and the show is sooo low energy it insanely unnecessary they advertise it a a spy thriller but it just a bland soap opera heck a space odyssey is rewatchable compared to this,negative
i wa only when star war premiered in the original trilogy wa a huge part of my childhood after watching episode i at the theater i wa in shock and couldn't speak the first word i uttered were man the movie sucked little did i know that it's nothing compared to the non-canon wokefest from kathleen kennedy and the evil empire known a disney,negative
what an epic shitshow worst of the genre ever fire those writer,negative
i used to ask my parent to rent episode i- iii but they didn't exist yet at that time i wanted to know who and what darth vader wa if you only knew the hype when episode i wa announced i wa about to start high school back then the full story of anakin's downfall at last wa about to be reveal after a very long time,neutral
coolanother star war with all female cast i cannot believe how committed to destroying this brand they are,negative
i really miss when original star war trailer had john williams' track incorporated disney doe not do that anymore :(,negative
can you make the actor whisper more i wa still hearing their voice,neutral
great movie if only the movie came out after ot fan die out it would be appreciated how it deserved to be and better than endgame itself,positive
disney doesn't know how to make a star war movie but they sure know how to make a trailer,positive
yeah i think this is going to be the best star war show to date maybe since disney took over,positive
i know it's not that important but i'm so glad they fixed her lekku,positive
skoll and hati will be the redeeming point of this show for me ahsokas actress is just so lifeless/soulless compared to who she wa in cws gonna be another show i have to watch to be caught up and thats pretty much all theyre making now,positive
how come there are so much fewer aliens/creatures in the new disney star war then those of the past is it expensive to produce imagination,negative
the prequels were very good i wa around year old when this film came out and i remember watching it and thinking it wa amazing i think disney truly have ruined the star war franchise by ignoring george lucas and his idea,neutral
wa this show's script written by chatgpt i feel like if they had waited until or were out it wouldn't be so janky and weird,positive
every time i hear this guy's voice i think of his narration in star war battlefront ii he is the voice of the clone trooper so iconic,negative
i got into star war because of this movie and i don't even have a bias for it because of that,negative
i wa born and spent my youth in the totalitarian country of the warsaw pact you don't even know how well the creator of andor gave the spirit of a totalitarian state there is both the kgb and the gulag there is fear for loved one and exploitation of the worker beyond their strength when i watched it i felt like i wa transported not to the future but to the past you don't even know how scary life is in the evil empire i am surprised that someone in the u could understand this enslavement so well,negative
andor is the best new star war series i have seen it is a slow burn with amazing payoff i found the political drama part a thrilling a the action part,positive
there is a familiar feeling in visual term related to star war andor the cultural theme is similar to what we have on planet earth i think i'm going to love this one,positive
wait im confused doe this take place after mandalorian or like before andor s idk when rebel ending timeline fit into this,positive
first star war series with a story that doesn't just meander and shove in fan service,negative
for someone who hasn't watched star war movie but seen all the series am i going to be lost with this one,negative
just finished rebel againthe two dark jedi have to be related to the two wolf for the portal in the world between world given their name,negative
to all ya'll wondering why boba doesn't get shot in the leg or somethin' cause of his significant lack of protection let me just say a a semi-star war expert he is protected by a powerful alloy of beskar-infused plot armour there,positive
could they have chosen a worst actor than this tubby old kiwi seriously my choice would be dave bautista,negative
doe this series end with him dying in a comical fashion and in a big burp,neutral
noticed a tiny mistake in it: if the person is facing the eclipse then the eye should have a reverse reflection of it instead of left to right it should be right to left,negative
hope when the clone scene show some small detail of them helping each other a brother not just killing rebel and not caring for each other,positive
remember when we thought that the hooded servant wa darth maul,neutral
please be co op please be co op please be multiplayer thats all i keep saying in the beginning lol,positive
search for revenge of the sith modern trailer and watch the one released couple of month ago and you will see it time better,negative
if you could make a show like this why did you turn obi wan to a such a terrible disaster one of the best thing ever made about star war we needed something like this to recover after seeing something so terribly bad like obi wan,negative
i remember watching this in trailer in the theater when i wa year old everyone erupted into applause when anakin is introduced to obi-wan,positive
here after the halfway point of the season it just get better every episode,positive
coming back to this trailer break my heart man the force awakens wa genuinely a good film and you could see the potential for the trilogy disney wasted such an opportunity,positive
this is gonna be good although i have one question will they bring back captain rex i think it will be awesome to see a live action rex he is one of my favorite clone of all time besides that i can't wait,positive
i dont care the prequels have it problem but their still great,positive
just watched season eagerly waiting for season top notch series well done,positive
i like this show i dont why it get hated on this wa actually good a whole a lot better than obi-wan kenobi,positive
alliance theory not necessary to trade a patent during the time of alliance by theory of law of olympia color guard law code black code purple,neutral
just wish they didn't include maul's double sided saber in the trailer kind of spoiled an epic moment for the theater,positive
i say in the name of sw consistencythere really ought to be a re-edit of jake lloyd's scene replacing him with a digital rendering of young hayden christiansen get with it disney,neutral
this is my favourite star war movie i dont care what people say,negative
oh i got prison stack ship that are just prison that are actually wedge anchor penetrator impact super diode detonation cell cuz it's a tesla cell and got to wear armor because it ha a plasma and i can turn on in the room so not a fair day cage nope,negative
x better than mandalorian i would rather watch andor s repeat than the other trash disney is putting out there,positive
it wa awesome and thrilling but it only a huge disappointment if it's only one season cause if there calling it the book of boba fett they should add more season and more chapter of the adventure of bobas journey,positive
wa that nute gunray the separatist viceroy from phantom menace,negative
whatever creative process led to this show please use it for your other show so much better finally,positive
i hope that leida the daughter of mon mothma will cry for cassian when the andor series will ended with rogue one :'(,negative
if we don't get force ghost anakin this time around i'm throwing fist hayden is in the cast we've seen enough flashback now it's time for a reunion and see him beg for forgiveness,positive
i am getting old i wa sure cobb vanth wa played by billy bob thornton but it wa timothy olyphant and that peli motto wa played by tracey ullman but that wa amy sedaris,positive
this movie is so well made and this trailer still give me major goosebump,positive
love how they really did a bait and switch on u thanks a lot,positive
me after hearing that the saga is returning: how many other lie have i been told by the council edit: not saying that it's gonna be bad or anything just saying it for fun and me a someone that doesn't enjoy the sequel i'm glad some of you enjoyed it,positive
rogue one show how technology went backwards since the sith took over the empire,neutral
this show is okay i still prefer obi-wan kenobi book of boba fett and the mandolorion,positive
episode carried the weight of more than year of anticipation for a star war movie it ha it flaw however it expanded the universe of star war in an unimaginable way for that reason alone he is a landmark,negative
this show ha no soul like all of starwars now stop making show for child,positive
all we need is a open world star war game no open space star war game with planet,negative
just from watching the trailer it's a shame that they used moses ingram a a main character she annoying,negative
forget all these single player game we need a reboot of the star war mmo need something new and fresh and that can adapt while it age through the year because what we got is pretty embarrassing,negative
i wa born in so i grewup watching the original it wa hard to reach that level but looking back now the prequels were a lot of fun,positive
i just finished watching the series/ season definitely worth watching,positive
i havent watched much of rebel but this make me want to watch the whole series,neutral
want more of this just don't have ryan johnson direct anything he doesn't understand the universe,positive
if they make thrown look like a dumbest i'm giving up on starwars he is latterly the most intelligent person in all of starwars,positive
an oligarch however unlike any other oligarch before this one listens,neutral
i just re-watched this movie and it get worse with every viewing but one thing i noticed this time that i didn't before wa just how badly the cgi ha aged they really need to do special edition release for the prequel trilogy,positive
i'm not the biggest star war fan but andor wa a brilliant show,positive
i would say this is the best star war period not for the kid though,positive
ive been hoping for an ashoka movie for so long i kinda gave up and now that ive seen the trailer the first thing i noticed is that in every scene but one ashoka is not holding her sabre using her trademark reverse grip shes holding them like everyone else doe and to me that just reek of what im going to assume is huge lack of attention to detail on disney part which i have to believe is going to be indicative of the whole show i hope im wrong i really i hope im wrong,negative
hopefully daisy can redeem herself with a better script shes an amazing actress but they did her dirty the damage is already done but well see what happens,negative
that wa it back then absorb a much a you can coz you didn't have breakdown or youtube record it on vhs and watch back,neutral
disney have discovered ribbed plastic ducting it's absolutely everywhere aside from that this is the latest in a long line of box ticking woke dross,neutral
say what you will about andor versus the other show itll undoubtedly have far greater staying power (particularly if s is a good) i can see people rewatching it in twenty year cant really say the same for kenobi/bobf it like the d of star war,neutral
is this show worth watching i am this close to getting disney plus,positive
haven't watch but tear co we know what fate ahead for him tt arghhhhhttt,neutral
may the rebal force be with u for country people tight budget that they release this important critical series on dvd bless it be,positive
my first movie i went to see a kid i still love this moviehow in the hell it's awful,negative
episode episode episode only my opinion and i'm not a year old,neutral
star wars: the rise of skywalker finale star wars: the emperor is reborn,negative
this brought me hope that disney owner ship of star war wasnt going to be bad,negative
alliance theory not necessary to trade a patent during the time of alliance by theory of law of olympia color guard law code black code purple,neutral
i wasnt born when the ogs came to theater but to say that i got to experience all the prequels in theater will be something i will hold dearly to all my life that go the same for the sequel and seeing them all in theater with my son he can say he saw them when he get older nothing better then being a star war fan life,negative
the best piece of star war medium produced by disney until now,positive
to bad disney mess up these movie i hope then learn from there mistake,negative
even though they are unfavourable character how about a series on dr evazan and ponda baba there's a hell of a line there with those folk incase no one know those are the two that messed with luke at the canteen in star war (),negative
a amazing a this trailer is it still doesn't compare to how incredible the entire series is the best series,positive
so amazing and even the music is more or le what i expected the essence of the world between world,positive
my theory is that the rogue wolf are old dark jedi from the eternal empire from the old republic it may sound crazy but we must remember that in jedi survivor they will bring a jedi from the high republic that wa kept in stasis and that we know that the world between world bridge past present and future,positive
shieeet i remember i watched this trailer on a cd that wa like a bonus to a total film magazine i wa buying back in the day there wa this trailer for constantine and something else i dont remember i rewatched it again and again wa so hyped to see this movie,positive
that look pretty interesting one question: would there be any particular advantage to living in a sink-hole i mean you get a free corvette but where are you gonna drive it,positive
you take all these shortcut what sick joke and they get to by a film franchise owner,negative
luthen is an amazing star war character one of the best ever actually imo,positive
boring and bland a expected thank you disney for even more diverse content on disney,positive
the main writer is the same one from clone war and rebel it ha to be good right,negative
really liked this movie sick of the annoying hate from people,negative
that's so bad the feeling of children's program and bad actor,negative
for those that dont know this movie wa written in hour by two drunk guy,negative
look like they dropped a bunch of stormtroopers in cyberpunk,positive
i hate it when they put stuff on yet another platform we have to subscribe to,negative
back when trailer were not full of the hammer bang nonsense,negative
my dad printed me this trailer frame by frame so i could flip thru it at school when i wa in kindergarten,neutral
so in this show you have homosexual woman in charge of everything woman leading men men are like pathetic helpless weak oh not to mention you have white black asian multicultural man it's b make you not want even see any of these film garbage,negative
i love jon favereau but he should have let someone else write the story i enjoyed the heck out of the mandalorian and obi-wan so i wa expecting the book of fett to be a good but it really wasn't too many cliche scene too many cringey moment temuera wa excellent a were the performance of the other actor it wa the story that disappointed,positive
